"ID","post_title","post_type","guid"
"42750","Les officiales n°140","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62c2eb054a358.pdf"
"42751","Les Auctionatores n°107","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62c2eb07be8cd.pdf"
"42790","AFD – EXPERTISE FRANCE : UN RAPPROCHEMENT MARQUÉ PAR L’IMPROVISATION !","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/communique_FD_AFD_30062022-Final_page-0001.jpg"
"42791","Le Coquelicot d’Axway – Juillet 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/Le-Coquelicot-dAxway-Juillet-2022_page-0001.jpg"
"42792","AFD – EXPERTISE FRANCE : UN RAPPROCHEMENT MARQUÉ PAR L’IMPROVISATION !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62c52db1130b4.pdf"
"42793","Le Coquelicot d’Axway – Juillet 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62c52db4cc65b.pdf"
"42800","Communiqué de presse de l’intersyndicale de l’UES Expleo France du 5 juillet 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62c53aff226c1.pdf"
"42801","Communiqué de presse de l’intersyndicale de l’UES Expleo France du 5 juillet 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/Communique-de-Presse-Intersyndicale-Expleo-5-juillet-2022_page-0001.jpg"
"42822","L’écho du Portage n°63","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/echo_portage63.jpg"
"42823","L’écho du Portage n°63","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62c67a9254ec3.pdf"
"42837","La Bastoche N°204","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/La-Bastoche-n°204-7-juillet-2022_page-0001.jpg"
"42838","La Bastoche N°204","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62c7edd98ba8a.pdf"
